word,count,cum_ratio
#,685,0.198265
#,683,0.198745
#,682,0.199224
#,676,0.199699
#,676,0.200174
#,675,0.200649
#,666,0.201117
#,664,0.201584
#,663,0.202050
#,663,0.202516
#,657,0.202977
#,627,0.203418
#,624,0.203857
#,610,0.204285
#,595,0.204703
#,581,0.205112
#,579,0.205519
#,574,0.205922
#,566,0.206320
#,559,0.206713
#,558,0.207105
#,545,0.207488
#,542,0.207869
#,540,0.208249
#,538,0.208627
#,538,0.209005
#,536,0.209382
#,532,0.209756
#,523,0.210123
#,521,0.210489
#,516,0.210852
#,510,0.211210
#,509,0.211568
#,505,0.211923
#,497,0.212272
#,492,0.212618
#,489,0.212962
#,488,0.213305
#,487,0.213647
#,487,0.213990
#,487,0.214332
#,486,0.214673
#,482,0.215012
#,478,0.215348
#,478,0.215684
#,475,0.216018
#,475,0.216352
#,475,0.216686
#,472,0.217017
#,471,0.217348
#,471,0.217680
#,470,0.218010
#,470,0.218340
#,470,0.218671
#,469,0.219000
#,466,0.219328
#,466,0.219655
#,466,0.219983
#,465,0.220310
#,465,0.220636
#,464,0.220963
#,464,0.221289
#,463,0.221614
#,463,0.221940
#,462,0.222264
#,462,0.222589
#,462,0.222914
#,462,0.223238
#,462,0.223563
#,462,0.223888
#,461,0.224212
#,461,0.224536
#,461,0.224860
#,460,0.225183
#,460,0.225506
#,460,0.225830
#,460,0.226153
#,460,0.226476
#,459,0.226799
#,459,0.227122
#,459,0.227444
#,458,0.227766
#,458,0.228088
#,458,0.228410
#,457,0.228731
#,457,0.229052
#,457,0.229374
#,457,0.229695
#,456,0.230015
#,456,0.230336
#,456,0.230656
#,456,0.230977
#,455,0.231297
#,455,0.231616
#,455,0.231936
#,455,0.232256
#,455,0.232576
#,454,0.232895
#,454,0.233214
#,454,0.233533
#,453,0.233851
#,453,0.234170
#,453,0.234488
#,453,0.234807
#,453,0.235125
#,452,0.235443
#,452,0.235760
#,452,0.236078
#,452,0.236396
#,452,0.236713
#,452,0.237031
#,451,0.237348
#,451,0.237665
#,451,0.237982
#,451,0.238299
#,450,0.238615
#,450,0.238932
#,450,0.239248
#,450,0.239564
#,450,0.239881
#,450,0.240197
#,449,0.240512
#,449,0.240828
#,449,0.241144
#,448,0.241458
#,448,0.241773
#,448,0.242088
#,447,0.242402
#,447,0.242717
#,447,0.243031
#,447,0.243345
#,447,0.243659
#,446,0.243973
#,446,0.244286
#,446,0.244599
#,446,0.244913
#,445,0.245226
#,445,0.245538
#,445,0.245851
#,445,0.246164
#,444,0.246476
#,444,0.246788
#,444,0.247100
#,444,0.247412
#,443,0.247724
#,443,0.248035
#,443,0.248346
#,443,0.248658
#,442,0.248968
#,442,0.249279
#,442,0.249590
#,442,0.249900
#,442,0.250211
#,441,0.250521
#,441,0.250831
#,441,0.251141
#,441,0.251451
#,441,0.251761
#,441,0.252071
#,441,0.252381
#,440,0.252690
#,440,0.252999
#,440,0.253308
#,440,0.253618
#,440,0.253927
#,440,0.254236
#,440,0.254546
#,440,0.254855
#,439,0.255163
#,439,0.255472
#,439,0.255780
#,439,0.256089
#,438,0.256397
#,438,0.256705
#,438,0.257013
#,438,0.257320
#,438,0.257628
#,438,0.257936
#,438,0.258244
#,437,0.258551
#,437,0.258858
#,437,0.259165
#,436,0.259472
#,436,0.259778
#,436,0.260085
#,436,0.260391
#,436,0.260698
#,436,0.261004
#,435,0.261310
#,434,0.261615
#,434,0.261920
#,434,0.262225
#,433,0.262529
#,433,0.262834
#,433,0.263138
#,433,0.263442
#,432,0.263746
#,431,0.264049
#,431,0.264352
#,431,0.264655
#,431,0.264958
#,430,0.265260
#,430,0.265562
#,430,0.265864
#,430,0.266166
#,430,0.266469
#,429,0.266770
#,429,0.267072
#,428,0.267373
#,428,0.267673
#,428,0.267974
#,428,0.268275
#,427,0.268575
#,427,0.268875
#,426,0.269175
#,426,0.269474
#,426,0.269774
#,426,0.270073
#,425,0.270372
#,425,0.270670
#,425,0.270969
#,425,0.271268
#,425,0.271566
#,424,0.271864
#,423,0.272162
#,423,0.272459
#,423,0.272756
#,423,0.273054
#,423,0.273351
#,422,0.273648
#,422,0.273944
#,421,0.274240
#,420,0.274535
#,420,0.274831
#,420,0.275126
#,420,0.275421
#,418,0.275715
#,418,0.276009
#,417,0.276302
#,417,0.276595
#,416,0.276887
#,415,0.277179
#,414,0.277470
#,410,0.277758
#,410,0.278046
#,410,0.278334
#,410,0.278622
#,410,0.278911
#,409,0.279198
#,407,0.279484
#,406,0.279769
#,406,0.280055
#,402,0.280337
#,401,0.280619
#,401,0.280901
#,399,0.281181
#,397,0.281461
#,396,0.281739
#,390,0.282013
#,389,0.282286
#,387,0.282558
#,385,0.282829
#,384,0.283099
#,384,0.283369
#,383,0.283638
#,383,0.283907
#,382,0.284176
#,381,0.284443
#,381,0.284711
#,381,0.284979
#,381,0.285247
#,380,0.285514
#,380,0.285781
#,380,0.286048
#,377,0.286313
#,375,0.286577
#,375,0.286840
#,375,0.287104
#,373,0.287366
#,373,0.287628
#,373,0.287890
#,372,0.288152
#,372,0.288413
#,372,0.288675
#,372,0.288936
#,372,0.289198
#,371,0.289458
#,371,0.289719
#,371,0.289980
#,371,0.290241
#,370,0.290501
#,370,0.290761
#,369,0.291020
#,369,0.291279
#,369,0.291539
#,369,0.291798
#,369,0.292057
#,369,0.292317
#,369,0.292576
#,368,0.292835
#,368,0.293093
#,368,0.293352
#,368,0.293611
#,367,0.293869
#,367,0.294127
#,367,0.294385
#,367,0.294643
#,367,0.294900
#,366,0.295158
#,366,0.295415
#,365,0.295671
#,365,0.295928
#,365,0.296185
#,365,0.296441
#,364,0.296697
#,364,0.296953
#,364,0.297209
#,364,0.297464
#,364,0.297720
#,364,0.297976
#,364,0.298232
#,363,0.298487
#,363,0.298742
#,363,0.298997
#,362,0.299252
#,362,0.299506
#,362,0.299761
#,361,0.300014
#,361,0.300268
#,361,0.300522
#,361,0.300776
#,361,0.301029
#,360,0.301282
#,360,0.301535
#,360,0.301788
#,360,0.302041
#,360,0.302294
#,359,0.302547
#,359,0.302799
#,359,0.303051
#,359,0.303304
#,359,0.303556
#,359,0.303808
#,359,0.304061
#,358,0.304312
#,358,0.304564
#,358,0.304816
#,358,0.305067
#,358,0.305319
#,358,0.305570
#,358,0.305822
#,358,0.306074
#,358,0.306325
#,357,0.306576
#,357,0.306827
#,357,0.307078
#,357,0.307329
#,357,0.307580
#,357,0.307831
#,357,0.308082
#,356,0.308332
#,356,0.308582
#,356,0.308832
#,356,0.309083
#,356,0.309333
#,356,0.309583
#,355,0.309833
#,355,0.310082
#,355,0.310332
#,355,0.310581
#,355,0.310831
#,355,0.311080
#,354,0.311329
#,354,0.311578
#,354,0.311827
#,354,0.312075
#,354,0.312324
#,353,0.312572
#,353,0.312820
#,353,0.313068
#,352,0.313316
#,352,0.313563
#,352,0.313811
#,352,0.314058
#,352,0.314305
#,352,0.314553
#,352,0.314800
#,351,0.315047
#,351,0.315294
#,351,0.315540
#,351,0.315787
#,351,0.316034
#,351,0.316281
#,350,0.316527
#,350,0.316773
#,350,0.317019
#,350,0.317265
#,350,0.317510
#,350,0.317756
#,349,0.318002
#,349,0.318247
#,349,0.318492
#,348,0.318737
#,348,0.318982
#,348,0.319226
#,347,0.319470
#,347,0.319714
#,347,0.319958
#,347,0.320202
#,347,0.320446
#,347,0.320689
#,347,0.320933
#,347,0.321177
#,347,0.321421
#,347,0.321665
#,347,0.321909
#,346,0.322152
#,346,0.322395
#,346,0.322639
#,346,0.322882
#,345,0.323124
#,345,0.323367
#,345,0.323609
#,345,0.323852
#,345,0.324094
#,345,0.324337
#,345,0.324579
#,344,0.324821
#,344,0.325063
#,344,0.325304
#,344,0.325546
#,344,0.325788
#,343,0.326029
#,343,0.326270
#,342,0.326511
#,342,0.326751
#,341,0.326991
#,341,0.327230
#,340,0.327469
#,340,0.327708
#,340,0.327947
#,339,0.328185
#,339,0.328424
#,339,0.328662
#,339,0.328900
#,339,0.329138
#,339,0.329377
#,339,0.329615
#,338,0.329853
#,338,0.330090
#,338,0.330328
#,338,0.330565
#,337,0.330802
#,337,0.331039
#,337,0.331276
#,337,0.331513
#,337,0.331750
#,337,0.331986
#,336,0.332223
#,336,0.332459
#,336,0.332695
#,336,0.332931
#,336,0.333167
#,335,0.333403
#,335,0.333638
#,335,0.333874
#,335,0.334109
#,335,0.334345
#,334,0.334579
#,334,0.334814
#,334,0.335049
#,334,0.335284
#,334,0.335518
#,332,0.335752
#,331,0.335984
#,331,0.336217
#,331,0.336450
#,330,0.336681
#,330,0.336913
#,330,0.337145
#,330,0.337377
#,330,0.337609
#,329,0.337840
#,329,0.338072
#,329,0.338303
#,328,0.338533
#,328,0.338764
#,328,0.338995
#,327,0.339224
#,327,0.339454
#,326,0.339683
#,326,0.339912
#,326,0.340142
#,325,0.340370
#,324,0.340598
#,323,0.340825
#,323,0.341052
#,323,0.341279
#,321,0.341504
#,321,0.341730
#,320,0.341955
#,320,0.342180
#,318,0.342403
#,317,0.342626
#,314,0.342847
#,312,0.343066
#,312,0.343285
#,311,0.343504
#,311,0.343723
#,311,0.343941
#,309,0.344158
#,308,0.344375
#,307,0.344591
#,306,0.344806
#,305,0.345020
#,301,0.345232
#,300,0.345443
#,299,0.345653
#,298,0.345862
#,298,0.346072
#,297,0.346280
#,297,0.346489
#,295,0.346696
#,291,0.346901
#,291,0.347105
#,290,0.347309
#,290,0.347513
#,288,0.347716
#,287,0.347917
#,285,0.348118
#,285,0.348318
#,282,0.348516
#,282,0.348714
#,279,0.348910
#,278,0.349106
#,278,0.349301
#,277,0.349496
#,276,0.349690
#,275,0.349883
#,274,0.350076
#,273,0.350268
#,270,0.350457
#,269,0.350646
#,269,0.350836
#,269,0.351025
#,267,0.351212
#,264,0.351398
#,263,0.351583
#,263,0.351767
#,259,0.351950
#,258,0.352131
#,257,0.352312
#,256,0.352491
#,253,0.352669
#,251,0.352846
#,251,0.353022
#,250,0.353198
#,250,0.353374
#,248,0.353548
#,248,0.353722
#,245,0.353894
#,244,0.354066
#,244,0.354237
#,244,0.354409
#,244,0.354580
#,244,0.354752
#,243,0.354923
#,242,0.355093
#,242,0.355263
#,241,0.355432
#,241,0.355602
#,241,0.355771
#,240,0.355940
#,239,0.356108
#,238,0.356275
#,238,0.356442
#,236,0.356608
#,235,0.356773
#,235,0.356938
#,234,0.357103
#,233,0.357267
#,233,0.357430
#,232,0.357593
#,231,0.357756
#,231,0.357918
#,229,0.358079
#,228,0.358239
#,228,0.358400
#,226,0.358558
#,225,0.358717
#,225,0.358875
#,225,0.359033
#,225,0.359191
#,224,0.359348
#,224,0.359506
#,223,0.359663
#,222,0.359819
#,222,0.359975
#,221,0.360130
#,221,0.360285
#,219,0.360439
#,219,0.360593
#,218,0.360746
#,214,0.360897
#,214,0.361047
#,213,0.361197
#,212,0.361346
#,212,0.361495
#,211,0.361643
#,211,0.361792
#,211,0.361940
#,211,0.362088
#,211,0.362236
#,210,0.362384
#,210,0.362532
#,210,0.362679
#,207,0.362825
#,205,0.362969
#,205,0.363113
#,204,0.363256
#,201,0.363398
#,198,0.363537
#,197,0.363675
#,197,0.363814
#,197,0.363952
#,196,0.364090
#,195,0.364227
#,195,0.364364
#,194,0.364500
#,194,0.364637
#,194,0.364773
#,193,0.364909
#,192,0.365044
#,192,0.365179
#,190,0.365312
#,190,0.365446
#,189,0.365579
#,189,0.365711
#,189,0.365844
#,189,0.365977
#,189,0.366110
#,188,0.366242
#,188,0.366374
#,187,0.366506
#,186,0.366636
#,185,0.366766
#,185,0.366896
#,184,0.367026
#,183,0.367154
#,182,0.367282
#,182,0.367410
#,180,0.367537
#,180,0.367663
#,179,0.367789
#,179,0.367915
#,178,0.368040
#,178,0.368165
#,177,0.368289
#,177,0.368414
#,177,0.368538
#,176,0.368662
#,176,0.368786
#,173,0.368907
#,172,0.369028
#,172,0.369149
#,172,0.369270
#,170,0.369389
#,169,0.369508
#,169,0.369627
#,169,0.369746
#,169,0.369865
#,169,0.369983
#,168,0.370101
#,168,0.370219
#,167,0.370337
#,166,0.370454
#,166,0.370570
#,166,0.370687
#,166,0.370804
#,166,0.370920
#,166,0.371037
#,166,0.371154
#,165,0.371270
#,165,0.371385
#,165,0.371501
#,163,0.371616
#,163,0.371731
#,162,0.371844
#,162,0.371958
#,161,0.372071
#,160,0.372184
#,160,0.372296
#,159,0.372408
#,159,0.372520
#,159,0.372632
#,158,0.372743
#,157,0.372853
#,157,0.372963
#,157,0.373074
#,155,0.373183
#,155,0.373292
#,155,0.373401
#,155,0.373510
#,154,0.373618
#,154,0.373726
#,154,0.373834
#,154,0.373942
#,154,0.374051
#,154,0.374159
#,153,0.374266
#,152,0.374373
#,152,0.374480
#,152,0.374587
#,151,0.374693
#,150,0.374799
#,150,0.374904
#,149,0.375009
#,149,0.375113
#,149,0.375218
#,149,0.375323
#,148,0.375427
#,147,0.375530
#,147,0.375634
#,146,0.375736
#,146,0.375839
#,146,0.375941
#,144,0.376043
#,144,0.376144
#,144,0.376245
#,144,0.376346
#,144,0.376447
#,143,0.376548
#,143,0.376648
#,142,0.376748
#,142,0.376848
#,142,0.376948
#,142,0.377048
#,142,0.377147
#,141,0.377247
#,140,0.377345
#,139,0.377443
#,139,0.377540
#,138,0.377637
#,137,0.377734
#,137,0.377830
#,137,0.377926
#,137,0.378023
#,136,0.378118
#,136,0.378214
#,136,0.378309
#,136,0.378405
#,135,0.378500
#,135,0.378595
#,135,0.378690
#,135,0.378784
#,135,0.378879
#,135,0.378974
#,134,0.379068
#,134,0.379163
#,132,0.379255
#,132,0.379348
#,132,0.379441
#,132,0.379534
#,132,0.379626
#,132,0.379719
#,132,0.379812
#,131,0.379904
#,131,0.379996
#,131,0.380088
#,131,0.380180
#,131,0.380272
#,131,0.380364
#,131,0.380457
#,131,0.380549
#,130,0.380640
#,130,0.380731
#,130,0.380823
#,130,0.380914
#,130,0.381005
#,130,0.381097
#,129,0.381187
#,129,0.381278
#,129,0.381369
#,129,0.381459
#,128,0.381549
#,128,0.381639
#,128,0.381729
#,128,0.381819
#,128,0.381909
#,128,0.381999
#,128,0.382089
#,127,0.382178
#,127,0.382268
#,127,0.382357
#,127,0.382446
#,127,0.382536
#,127,0.382625
#,127,0.382714
#,127,0.382803
#,127,0.382893
#,127,0.382982
#,126,0.383070
#,126,0.383159
#,125,0.383247
#,125,0.383335
#,125,0.383423
#,125,0.383510
#,125,0.383598
#,125,0.383686
#,125,0.383774
#,125,0.383862
#,124,0.383949
#,123,0.384035
#,123,0.384122
#,123,0.384208
#,123,0.384295
#,123,0.384381
#,122,0.384467
#,122,0.384553
#,122,0.384638
#,122,0.384724
#,122,0.384810
#,121,0.384895
#,121,0.384980
#,121,0.385065
#,121,0.385150
#,121,0.385235
#,120,0.385320
#,120,0.385404
#,120,0.385488
#,120,0.385573
#,120,0.385657
#,120,0.385741
#,119,0.385825
#,119,0.385909
#,119,0.385992
#,119,0.386076
#,118,0.386159
#,118,0.386242
#,118,0.386325
#,118,0.386408
#,117,0.386490
#,117,0.386572
#,117,0.386654
#,117,0.386736
#,117,0.386819
#,117,0.386901
#,116,0.386982
#,116,0.387064
#,116,0.387146
#,116,0.387227
#,116,0.387309
#,115,0.387389
#,115,0.387470
#,115,0.387551
#,115,0.387632
#,114,0.387712
#,114,0.387792
#,114,0.387872
#,114,0.387952
#,114,0.388033
#,113,0.388112
#,113,0.388191
#,113,0.388271
#,113,0.388350
#,113,0.388430
#,112,0.388508
#,112,0.388587
#,112,0.388666
#,112,0.388745
#,111,0.388823
#,111,0.388901
#,111,0.388979
#,111,0.389057
#,111,0.389135
#,110,0.389212
#,110,0.389289
#,110,0.389367
#,110,0.389444
#,110,0.389521
#,110,0.389598
#,110,0.389676
#,110,0.389753
#,110,0.389830
#,110,0.389908
#,109,0.389984
#,109,0.390061
#,109,0.390138
#,109,0.390214
#,109,0.390291
#,109,0.390367
#,109,0.390444
#,109,0.390521
#,109,0.390597
#,108,0.390673
#,108,0.390749
#,108,0.390825
#,108,0.390901
#,108,0.390977
#,108,0.391053
#,107,0.391128
#,107,0.391203
#,107,0.391278
#,106,0.391353
#,106,0.391427
#,106,0.391502
#,106,0.391576
#,106,0.391651
#,105,0.391725
#,105,0.391798
#,105,0.391872
#,105,0.391946
#,104,0.392019
#,104,0.392092
#,104,0.392165
#,104,0.392238
#,104,0.392312
#,103,0.392384
#,103,0.392456
#,102,0.392528
#,102,0.392600
#,102,0.392671
#,102,0.392743
#,102,0.392815
#,101,0.392886
#,101,0.392957
#,101,0.393028
#,101,0.393099
#,101,0.393170
#,101,0.393241
#,101,0.393312
#,100,0.393382
#,100,0.393452
#,100,0.393523
#,99,0.393592
#,99,0.393662
#,99,0.393731
#,99,0.393801
#,98,0.393870
#,98,0.393939
#,98,0.394007
#,98,0.394076
#,98,0.394145
#,98,0.394214
#,98,0.394283
#,98,0.394352
#,98,0.394421
#,98,0.394490
#,97,0.394558
#,97,0.394626
#,97,0.394694
#,96,0.394762
#,96,0.394829
#,96,0.394897
#,95,0.394963
#,95,0.395030
#,95,0.395097
#,95,0.395164
#,95,0.395230
#,95,0.395297
#,95,0.395364
#,95,0.395431
#,94,0.395497
#,94,0.395563
#,94,0.395629
#,94,0.395695
#,94,0.395761
#,94,0.395827
#,94,0.395893
#,94,0.395959
#,93,0.396025
#,93,0.396090
#,93,0.396155
#,93,0.396221
#,93,0.396286
#,93,0.396351
#,93,0.396417
#,93,0.396482
#,93,0.396548
#,93,0.396613
#,93,0.396678
#,92,0.396743
#,92,0.396808
#,92,0.396872
#,92,0.396937
#,92,0.397002
#,92,0.397066
#,91,0.397130
#,91,0.397194
#,91,0.397258
#,91,0.397322
#,91,0.397386
#,91,0.397450
#,91,0.397514
#,91,0.397578
#,91,0.397642
#,90,0.397705
#,90,0.397768
#,90,0.397832
#,90,0.397895
#,90,0.397958
#,90,0.398021
#,90,0.398085
#,90,0.398148
#,90,0.398211
#,90,0.398274
#,90,0.398338
#,89,0.398400
#,89,0.398463
#,89,0.398525
#,88,0.398587
#,88,0.398649
#,88,0.398711
#,88,0.398773
#,88,0.398835
#,88,0.398897
#,88,0.398958
#,87,0.399020
#,87,0.399081
#,87,0.399142
#,87,0.399203
#,87,0.399264
#,87,0.399325
#,87,0.399386
#,87,0.399448
#,87,0.399509
#,87,0.399570
#,87,0.399631
#,87,0.399692
#,87,0.399753
#,87,0.399814
#,86,0.399875
#,86,0.399935
#,86,0.399996
#,86,0.400056
#,86,0.400117
#,86,0.400177
#,86,0.400238
#,86,0.400298
#,86,0.400358
#,86,0.400419
#,85,0.400479
#,85,0.400538
#,85,0.400598
#,85,0.400658
#,85,0.400718
#,85,0.400777
#,85,0.400837
#,84,0.400896
#,84,0.400955
#,84,0.401014
#,84,0.401073
#,84,0.401132
#,84,0.401191
#,84,0.401250
#,84,0.401309
#,84,0.401368
#,84,0.401427
#,84,0.401487
#,83,0.401545
#,83,0.401603
#,83,0.401662
#,83,0.401720
#,83,0.401778
#,83,0.401837
#,83,0.401895
#,83,0.401953
#,83,0.402012
#,82,0.402069
#,82,0.402127
#,82,0.402184
#,82,0.402242
#,82,0.402300
#,82,0.402357
#,82,0.402415
#,82,0.402473
#,82,0.402530
#,81,0.402587
#,81,0.402644
#,81,0.402701
#,81,0.402758
#,81,0.402815
#,81,0.402872
#,81,0.402929
#,81,0.402986
#,81,0.403043
#,80,0.403099
#,80,0.403155
#,80,0.403211
#,80,0.403268
#,80,0.403324
#,80,0.403380
#,80,0.403436
#,80,0.403492
#,80,0.403549
#,80,0.403605
#,80,0.403661
#,80,0.403717
#,80,0.403774
#,80,0.403830
#,80,0.403886
#,80,0.403942
#,79,0.403998
#,79,0.404053
#,79,0.404109
#,79,0.404164
#,79,0.404220
#,79,0.404275
#,79,0.404331
#,79,0.404386
#,79,0.404442
#,78,0.404497
#,78,0.404552
#,78,0.404606
#,78,0.404661
#,78,0.404716
#,78,0.404771
#,78,0.404826
#,78,0.404881
#,78,0.404935
#,77,0.404990
#,77,0.405044
#,77,0.405098
#,77,0.405152
#,77,0.405206
#,77,0.405260
#,76,0.405314
#,76,0.405367
#,76,0.405420
#,76,0.405474
#,76,0.405527
#,76,0.405581
#,76,0.405634
#,76,0.405687
#,76,0.405741
#,76,0.405794
#,76,0.405848
#,76,0.405901
#,76,0.405955
#,76,0.406008
#,75,0.406061
#,75,0.406113
#,75,0.406166
#,75,0.406219
#,75,0.406272
#,75,0.406324
#,75,0.406377
#,75,0.406430
#,75,0.406482
#,75,0.406535
#,75,0.406588
#,75,0.406641
#,75,0.406693
#,75,0.406746
#,75,0.406799
#,75,0.406851
#,74,0.406903
#,74,0.406955
#,74,0.407007
#,74,0.407059
#,74,0.407111
#,74,0.407163
#,74,0.407215
#,74,0.407267
#,74,0.407319
#,74,0.407372
#,74,0.407424
#,73,0.407475
#,73,0.407526
#,73,0.407577
#,73,0.407629
#,73,0.407680
#,73,0.407731
#,73,0.407783
#,73,0.407834
#,73,0.407885
#,73,0.407937
#,73,0.407988
#,72,0.408039
#,72,0.408089
#,72,0.408140
#,72,0.408190
#,72,0.408241
#,72,0.408292
#,72,0.408342
#,72,0.408393
#,72,0.408443
#,72,0.408494
#,72,0.408545
#,72,0.408595
#,72,0.408646
#,71,0.408696
#,71,0.408746
#,71,0.408795
#,71,0.408845
#,71,0.408895
#,71,0.408945
#,71,0.408995
#,71,0.409045
#,71,0.409095
#,71,0.409145
#,71,0.409195
#,71,0.409245
#,70,0.409294
#,70,0.409343
#,70,0.409392
#,70,0.409441
#,70,0.409491
#,70,0.409540
#,70,0.409589
#,70,0.409638
#,70,0.409687
#,70,0.409737
#,70,0.409786
#,70,0.409835
#,70,0.409884
#,70,0.409933
#,69,0.409982
#,69,0.410030
#,69,0.410079
#,69,0.410127
#,69,0.410176
#,69,0.410224
#,69,0.410273
#,69,0.410321
#,69,0.410370
#,69,0.410418
#,69,0.410467
#,69,0.410515
#,69,0.410564
#,69,0.410612
#,69,0.410661
#,69,0.410709
#,69,0.410758
#,69,0.410806
#,69,0.410855
#,69,0.410903
#,69,0.410952
#,69,0.411000
#,69,0.411049
#,68,0.411097
#,68,0.411144
#,68,0.411192
#,68,0.411240
#,68,0.411288
#,68,0.411336
#,68,0.411383
#,68,0.411431
#,68,0.411479
#,68,0.411527
#,68,0.411575
#,68,0.411622
#,68,0.411670
#,68,0.411718
#,68,0.411766
#,68,0.411814
#,67,0.411861
#,67,0.411908
#,67,0.411955
#,67,0.412002
#,67,0.412049
#,67,0.412096
#,67,0.412143
#,67,0.412190
#,67,0.412237
#,67,0.412284
#,67,0.412332
#,67,0.412379
#,67,0.412426
#,67,0.412473
#,67,0.412520
#,67,0.412567
#,67,0.412614
#,67,0.412661
#,67,0.412708
#,67,0.412755
#,66,0.412802
#,66,0.412848
#,66,0.412895
#,66,0.412941
#,66,0.412987
#,66,0.413034
#,66,0.413080
#,66,0.413126
#,66,0.413173
#,66,0.413219
#,66,0.413266
#,66,0.413312
#,66,0.413358
#,66,0.413405
#,66,0.413451
#,66,0.413498
#,65,0.413543
#,65,0.413589
#,65,0.413635
#,65,0.413680
#,65,0.413726
#,65,0.413772
#,65,0.413817
#,65,0.413863
#,65,0.413909
#,65,0.413954
#,65,0.414000
#,65,0.414046
#,65,0.414091
#,65,0.414137
#,65,0.414183
#,65,0.414229
#,65,0.414274
#,65,0.414320
#,65,0.414366
#,65,0.414411
#,65,0.414457
#,65,0.414503
#,65,0.414548
#,65,0.414594
#,65,0.414640
#,65,0.414685
#,64,0.414730
#,64,0.414775
#,64,0.414820
#,64,0.414865
#,64,0.414910
#,64,0.414955
#,64,0.415000
#,64,0.415045
#,64,0.415090
#,64,0.415135
#,64,0.415180
#,64,0.415225
#,64,0.415270
#,64,0.415315
#,64,0.415360
#,64,0.415405
#,64,0.415450
#,64,0.415495
#,64,0.415540
#,64,0.415585
#,64,0.415630
#,64,0.415675
#,64,0.415720
#,64,0.415765
#,64,0.415810
#,64,0.415855
#,64,0.415900
#,63,0.415944
#,63,0.415988
